*本資料庫所列數值單位均為每100 g可食部分之含量。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整合編號,食品分類,樣品名稱,內容物描述,俗名,廢棄率(%),熱量(kcal),修正熱量(kcal),水分(g),粗蛋白(g),粗脂肪(g),飽和脂肪(g),灰分(g),總碳水化合物(g),膳食纖維(g),糖質總量(g),葡萄糖(g),果糖(g),半乳糖(g),麥芽糖(g),蔗糖(g),乳糖(g),鈉(mg),鉀(mg),鈣(mg),鎂(mg),鐵(mg),鋅(mg),磷(mg),銅(mg),錳(mg),維生素A總量(IU),視網醇當量(RE)(ug),視網醇(ug),α-胡蘿蔔素(ug),β-胡蘿蔔素(ug),維生素D總量(IU),維生素D總量(ug),維生素D2(ug),維生素D3(ug),維生素E總量(mg),α-維生素E當量(α-TE)(mg),α-生育酚(mg),β-生育酚(mg),γ-生育酚(mg),δ-生育酚(mg),維生素K1(ug),維生素K2 (MK-4)(ug),維生素K2 (MK-7)(ug),維生素B1(mg),維生素B2(mg),菸鹼素(mg),維生素B6(mg),維生素B12(ug),葉酸(ug),維生素C(mg),脂肪酸S總量(mg),酪酸(4:0)(mg),己酸(6:0)(mg),辛酸(8:0)(mg),癸酸(10:0)(mg),月桂酸(12:0)(mg),十三酸(13:0)(mg),肉豆蔻酸(14:0)(mg),十五酸(15:0)(mg),棕櫚酸(16:0)(mg),十七酸(17:0)(mg),硬脂酸(18:0)(mg),十九酸(19:0)(mg),花生酸(20:0)(mg),山酸(22:0)(mg),廿四酸(24:0)(mg),脂肪酸M總量(mg),肉豆蔻烯酸(14:1)(mg),棕櫚烯酸(16:1)(mg),油酸(18:1)(mg),鱈烯酸(20:1)(mg),芥子酸(22:1)(mg),脂肪酸P總量(mg),亞麻油酸(18:2)(mg),次亞麻油酸(18:3)(mg),十八碳四烯酸(18:4)(mg),花生油酸(20:4)(mg),廿碳五烯酸(20:5)(mg),廿二碳五烯酸(22:5)(mg),廿二碳六烯酸(22:6)(mg),其他脂肪酸(mg),P/M/S,反式脂肪(mg),水解胺基酸總量(mg),天門冬胺酸(Asp)(mg),酥胺酸(Thr)(mg),絲胺酸(Ser)(mg),麩胺酸(Glu)(mg),脯胺酸(Pro)(mg),甘胺酸(Gly)(mg),丙胺酸(Ala)(mg),胱胺酸(Cys)(mg),纈胺酸(Val)(mg),甲硫胺酸(Met)(mg),異白胺酸(Ile)(mg),白胺酸(Leu)(mg),酪胺酸(Tyr)(mg),苯丙胺酸(Phe)(mg),離胺酸(Lys)(mg),組胺酸(His)(mg),精胺酸(Arg)(mg),色胺酸(Trp)(mg),膽固醇(mg),酒精含量(g)
K01201,蛋類,滷蛋平均值,"樣品狀態:熟,雞蛋製品; 前處理描述:混合均勻打碎",,,184 ,184,64.3,16.4,11.1,3.8,3.6,4.6,,4.3,0.4,0.2,,0.1,3.6,0.0,1156,163,52,21,2.7,2.0,230,0.052 ,,385,113,111,,9,,,,,2.56 ,2.07 ,2.01 ,0.03 ,0.52 ,0.01 ,,,,0.04,0.44,0.31,0.18,1.00,45.6,0.0,3803,0,0,0,0,0,0,40,7,2817,22,904,0,1,0,11,4771,6,284,4453,27,0,2495,2136,104,3,158,0,11,83,62,1.00/1.91/1.52,,15978 ,1599 ,741 ,1083 ,2205 ,647 ,569 ,930 ,374 ,1024 ,554 ,876 ,1370 ,654 ,869 ,1062 ,384 ,902 ,132 ,479 ,
K0120101,蛋類,雞滷蛋(市售),"樣品狀態:熟,雞蛋製品(雞蛋,醬油,調味料等); 前處理描述:混合均勻打碎",,,191 ,191,64.7,15.7,11.4,4.1,1.9,6.4,,4.3,0.4,0.2,,0.1,3.6,0.0,583,91,61,15,2.7,2.1,222,0.052 ,,517,152,151,,9,,,,,2.50 ,1.90 ,1.83 ,0.00 ,0.68 ,0.00 ,,,,0.02,0.34,0.28,0.18,1.13,45.6,0.0,4054,0,0,0,0,0,0,40,5,2976,16,981,0,2,1,33,5097,5,311,4754,26,0,2211,1866,69,0,194,1,19,62,64,1.00/2.30/1.83,,15903 ,1622 ,735 ,1064 ,2044 ,688 ,549 ,924 ,414 ,1004 ,503 ,832 ,1390 ,680 ,865 ,1092 ,386 ,960 ,152 ,502 ,
K0120102,蛋類,雞滷蛋(現煮),"前處理描述:將水煮蛋加醬油與一次水各2L,以小火煮約2小時,撈出瀝乾均質",,,178 ,178,65.1,16.6,11.1,3.7,4.2,3.1,,,,,,,,,1278,195,54,21,2.4,1.9,230,,,226,68,68,,,,,,,2.55 ,2.13 ,2.07 ,0.04 ,0.43 ,0.02 ,,,,0.05,0.47,0.22,0.19,1.04,,0.0,3737,0,0,0,0,0,0,41,8,2789,25,874,0,0,0,0,4686,7,280,4371,28,0,2659,2302,122,4,137,0,3,91,,1.00/1.76/1.41,,15941 ,1563 ,736 ,1083 ,2234 ,611 ,568 ,925 ,443 ,1029 ,573 ,886 ,1349 ,645 ,869 ,1021 ,390 ,871 ,148 ,411 ,
K0120103,蛋類,雞滷蛋(浸泡隔夜),"前處理描述:將水煮蛋加醬油與一次水各2L,以小火煮約2小時,以原滷液浸泡隔夜,撈出瀝乾均質",,,182 ,182,63.2,16.9,10.8,3.6,4.7,4.4,,,,,,,,,1607,202,40,26,2.9,1.9,237,,,384,115,115,,,,,,,2.61 ,2.18 ,2.12 ,0.04 ,0.45 ,0.02 ,,,,0.05,0.52,0.42,0.17,0.83,,0.0,3625,0,0,0,0,1,0,40,8,2690,26,860,0,0,0,0,4538,7,263,4241,26,0,2598,2226,118,4,143,0,12,95,,1.00/1.75/1.40,,16090 ,1612 ,754 ,1103 ,2338 ,641 ,588 ,941 ,266 ,1041 ,587 ,910 ,1372 ,639 ,875 ,1074 ,378 ,876 ,97 ,524 ,
K01206,蛋類,滷蛋白平均值,"樣品狀態:熟,雞蛋製品; 前處理描述:去蛋黃,混合均勻打碎",,,87 ,87,73.5,16.7,0.2,0.1,5.1,4.6,,,,,,,,,1794,225,14,25,0.9,0.9,60,,,0,0,0,,,,,,,0.02 ,0.01 ,0.01 ,0.00 ,0.00 ,0.00 ,,,,0.03,0.50,0.42,0.12,0.16,,0.0,75,0,3,2,1,1,0,3,0,53,0,13,0,0,0,0,87,0,6,81,0,0,34,34,0,0,0,0,0,0,,1.00/2.58/2.21,,16314 ,1635 ,724 ,1050 ,2423 ,626 ,614 ,989 ,421 ,1086 ,658 ,917 ,1363 ,606 ,959 ,993 ,356 ,779 ,116 ,0 ,
K0120601,蛋類,雞滷蛋白(現煮),"前處理描述:將水煮蛋加醬油與一次水各2L,以小火煮約2小時,瀝乾,取蛋白均質",,,84 ,84,74.5,16.6,0.2,0.1,4.8,3.9,,,,,,,,,1623,223,13,23,0.6,1.0,54,,,0,0,0,,,,,,,0.02 ,0.01 ,0.01 ,0.00 ,0.01 ,0.00 ,,,,0.02,0.47,0.27,0.12,0.16,,0.0,76,0,2,2,1,2,0,3,0,54,0,12,0,0,0,0,86,0,6,80,0,0,34,34,0,0,0,0,0,0,,1.00/2.53/2.24,,16411 ,1624 ,723 ,1052 ,2380 ,613 ,607 ,993 ,567 ,1084 ,653 ,914 ,1368 ,617 ,964 ,974 ,362 ,788 ,130 ,0 ,
K0120602,蛋類,雞滷蛋白(浸泡隔夜),"前處理描述:將白煮蛋加醬油與一次水各2L,以小火煮約2小時,原滷液浸泡隔夜,瀝乾,取蛋白均質",,,89 ,89,72.4,16.7,0.2,0.1,5.4,5.2,,,,,,,,,1966,228,14,28,1.2,0.9,67,,,0,0,0,,,,,,,0.02 ,0.02 ,0.02 ,0.00 ,0.00 ,0.00 ,,,,0.03,0.53,0.56,0.12,0.15,,0.0,74,0,3,2,0,0,0,3,0,52,0,13,0,0,0,0,88,0,7,82,0,0,34,34,0,0,0,0,0,0,,1.00/2.62/2.19,,16216 ,1645 ,725 ,1048 ,2465 ,639 ,621 ,986 ,274 ,1089 ,663 ,920 ,1358 ,596 ,953 ,1011 ,349 ,771 ,102 ,0 ,
K01208,蛋類,滷蛋黃平均值,"樣品狀態:熟,雞蛋製品; 前處理描述:混合均勻打碎",,,379 ,379,44.3,17.0,33.7,11.4,3.0,1.9,,,,,,,,,697,141,119,21,6.5,4.0,602,,,954,286,286,,,,,,,8.06 ,6.73 ,6.54 ,0.12 ,1.36 ,0.05 ,,,,0.09,0.48,0.12,0.31,2.58,,0.0,11361,0,0,0,0,1,0,126,25,8454,79,2675,0,0,0,0,14209,22,837,13266,84,0,8114,6988,370,12,432,0,23,288,,1.00/1.75/1.40,,15449 ,1488 ,788 ,1186 ,1996 ,625 ,503 ,813 ,218 ,925 ,416 ,859 ,1355 ,718 ,687 ,1164 ,443 ,1074 ,191 ,1464 ,
K0120801,蛋類,雞滷蛋黃(現煮),"前處理描述:將水煮蛋加醬油與一次水各2L以小火煮約2小時後,瀝乾,取蛋黃均質",,,376 ,376,45.3,16.6,33.8,11.4,2.9,1.3,,,,,,,,,563,136,141,19,6.6,3.9,598,,,692,208,208,,,,,,,7.89 ,6.61 ,6.42 ,0.12 ,1.31 ,0.05 ,,,,0.10,0.46,0.11,0.33,2.85,,0.0,11401,0,0,0,0,0,0,127,25,8506,78,2666,0,0,0,0,14247,22,854,13285,86,0,8116,7025,371,12,420,0,9,279,,1.00/1.76/1.40,,14971 ,1438 ,762 ,1149 ,1929 ,606 ,489 ,783 ,189 ,914 ,408 ,830 ,1308 ,704 ,669 ,1120 ,446 ,1044 ,185 ,1270 ,
K0120802,蛋類,雞滷蛋黃(浸泡隔夜),"前處理描述:將水煮蛋加醬油與一次水各2L,以小火煮約2小時,以原液浸泡隔夜,瀝乾,取蛋黃均質",,,382 ,382,43.3,17.4,33.6,11.3,3.1,2.6,,,,,,,,,832,146,97,22,6.5,4.1,606,,,1215,365,365,,,,,,,8.23 ,6.85 ,6.65 ,0.12 ,1.41 ,0.05 ,,,,0.09,0.49,0.12,0.29,2.30,,0.0,11321,0,0,0,0,3,0,125,25,8402,80,2685,0,0,0,0,14171,21,821,13247,82,0,8111,6951,369,12,445,0,37,296,,1.00/1.75/1.40,,15927 ,1539 ,815 ,1223 ,2063 ,645 ,517 ,843 ,248 ,936 ,423 ,888 ,1402 ,731 ,706 ,1208 ,440 ,1104 ,198 ,1657 ,
K0121101,蛋類,雞鐵蛋,"樣品狀態:熟,雞蛋製品; 前處理描述:混合均勻打碎",,,288 ,288,47.2,26.6,17.5,6.2,2.8,5.9,,,,,,,,,766,256,84,26,3.6,2.5,279,,,700,210,210,,,,,,,1.41 ,1.17 ,1.14 ,0.00 ,0.27 ,0.00 ,,,,0.04,0.33,0.60,0.14,2.27,,0.0,6246,0,0,0,0,0,0,95,0,4699,0,1453,0,0,0,0,8356,0,620,7698,39,0,2895,2069,60,0,245,33,42,446,,1.00/2.89/2.16,,28171 ,2882 ,1304 ,2006 ,3727 ,1078 ,963 ,1656 ,412 ,1716 ,1033 ,1476 ,2389 ,1165 ,1598 ,1890 ,681 ,1869 ,326 ,741 ,
K0122101,蛋類,雞水波蛋,"樣品狀態:熟; 前處理描述:約3L一次水滾後打入蛋,改以小火煮2~3分鐘,撈出瀝乾均質",(不帶殼水煮蛋),18 ,147 ,147,75.9,11.6,10.7,3.6,1.0,0.8,,,,,,,,,92,109,50,10,3.9,1.7,189,,,593,178,178,,,,,,,2.33 ,1.96 ,1.91 ,0.04 ,0.35 ,0.03 ,,,,0.08,0.40,0.03,0.14,0.56,,0.0,3614,0,0,0,0,0,0,44,4,2785,11,770,0,0,0,0,4719,5,300,4403,11,0,2360,2151,100,6,62,0,0,41,,1.00/2.00/1.53,,10143 ,982 ,472 ,702 ,1284 ,373 ,338 ,528 ,227 ,627 ,422 ,533 ,809 ,447 ,523 ,740 ,321 ,644 ,170 ,417 ,
K0123101,蛋類,荷包蛋(不加油),"前處理描述:不沾鍋中不加油,待鍋熱打入蛋,約1~2分鐘後翻面,每粒約煎2~3分鐘,取出放冷均質",,,162 ,162,72.2,14.0,11.2,3.8,1.1,1.4,,,,,,,,,151,139,52,11,3.4,1.7,196,,,478,143,143,,,,,,,2.93 ,2.44 ,2.36 ,0.05 ,0.50 ,0.03 ,,,,0.09,0.64,0.09,0.13,0.61,,0.0,3801,0,0,0,0,35,0,53,4,2850,13,845,0,0,0,0,4765,3,258,4488,15,0,2628,2332,107,0,141,0,8,40,,1.00/1.81/1.45,,12976 ,1293 ,614 ,897 ,1645 ,478 ,435 ,698 ,341 ,811 ,521 ,685 ,1072 ,564 ,651 ,946 ,367 ,804 ,152 ,449 ,
K0123201,蛋類,荷包蛋(加油1小匙),"前處理描述:不沾鍋中加入1小匙油,待油熱打入蛋,約1~2分鐘後翻面,每粒約煎2~3分鐘,取出放冷均質",,,192 ,192,69.3,13.0,14.9,3.1,1.2,1.6,,,,,,,,,140,142,55,13,2.3,1.7,207,,,337,101,101,,,,,,,4.41 ,3.87 ,3.75 ,0.13 ,0.50 ,0.03 ,,,,0.07,0.47,0.16,0.13,0.51,,0.0,3092,0,0,1,0,0,0,29,6,2124,18,841,0,27,24,21,5058,1,189,4839,29,0,6703,6483,95,4,76,0,0,45,,2.17/1.64/1.00,,12950 ,1260 ,603 ,897 ,1690 ,469 ,437 ,719 ,313 ,817 ,458 ,703 ,1080 ,559 ,674 ,906 ,354 ,802 ,210 ,434 ,
K0150101,蛋類,煎蛋(不加油),"前處理描述:雞蛋去殼打勻,小火加熱不沾鍋2~3分鐘,分五次倒入蛋液,兩面煎熟後,取出放冷均質",,,161 ,161,69.0,13.5,11.3,3.8,1.3,4.9,,,,,,,,,145,135,58,13,9.8,1.8,215,,,382,115,115,,,,,,,2.68 ,2.22 ,2.16 ,0.05 ,0.46 ,0.03 ,,,,0.07,0.62,0.08,0.12,0.43,,0.0,3783,0,0,0,0,0,0,42,7,2823,25,885,0,0,0,0,4945,7,283,4627,28,0,2541,2220,104,0,131,0,6,80,,1.00/1.95/1.49,,13046 ,1264 ,610 ,903 ,1703 ,471 ,437 ,720 ,318 ,817 ,480 ,738 ,1090 ,550 ,677 ,902 ,348 ,805 ,213 ,473 ,
K0150201,蛋類,炒蛋(加油3大匙),"前處理描述:雞蛋去殼打勻,於不沾鍋中加入3大匙油,熱鍋2分鐘,倒入蛋液以小火快炒3分鐘,取出放冷均質",,,215 ,215,65.3,12.9,16.1,3.0,1.1,4.6,,,,,,,,,126,125,51,12,2.5,1.4,191,,,344,103,103,,,,,,,6.20 ,5.50 ,5.32 ,0.25 ,0.59 ,0.05 ,,,,0.07,0.57,0.15,0.12,0.54,,0.0,2962,0,0,1,0,0,0,25,5,1913,15,856,0,36,83,27,4979,3,145,4803,29,0,8126,7969,71,0,53,0,0,32,,2.74/1.68/1.00,,12655 ,1223 ,583 ,873 ,1646 ,462 ,424 ,699 ,320 ,794 ,458 ,684 ,1054 ,538 ,656 ,874 ,340 ,808 ,219 ,443 ,
K01503,蛋類,蒸蛋平均值,"樣品狀態:熟,雞蛋製品; 前處理描述:混合均勻打碎",,,64 ,64,87.2,5.3,4.6,1.7,0.7,2.2,,,,,,,,,151,53,24,6,0.9,0.8,98,,,90,27,27,,,,,,,1.11 ,0.90 ,0.87 ,0.03 ,0.19 ,0.02 ,,,,0.03,0.20,0.04,0.04,0.22,9.0,0.0,1714,0,0,0,0,0,0,15,1,1264,5,429,0,0,0,0,1952,1,120,1826,5,0,935,803,22,1,88,0,0,22,,1.00/2.09/1.83,,5127 ,494 ,238 ,361 ,679 ,190 ,177 ,294 ,148 ,323 ,159 ,305 ,435 ,216 ,269 ,335 ,131 ,315 ,58 ,156 ,
K0150301,蛋類,蒸蛋(市售),"樣品狀態:熟,雞蛋製品(不含調味包); 前處理描述:混合均勻打碎",芙蓉豆腐,,32 ,32,90.1,3.6,1.8,0.6,1.2,3.4,,,,,,,,,327,34,20,5,0.9,0.5,111,,,120,36,36,,,,,,,0.38 ,0.26 ,0.25 ,0.00 ,0.10 ,0.03 ,,,,0.02,0.12,0.00,0.02,0.22,,0.0,646,0,0,0,0,0,0,8,0,490,0,148,0,0,0,0,886,0,56,831,0,0,237,232,6,0,0,0,0,0,,1.00/3.73/2.72,,4046 ,403 ,186 ,285 ,553 ,146 ,140 ,227 ,163 ,241 ,101 ,199 ,336 ,163 ,210 ,285 ,102 ,273 ,32 ,45 ,
K0150302,蛋類,蒸蛋(微波爐),"前處理描述:雞蛋去殼加入等重一次水打勻,倒入容器,蓋上保鮮膜,以強微波加熱7.5分鐘後,取出放冷均質",,,82 ,82,85.3,6.4,6.0,2.4,0.5,1.8,,,,,,,,,65,62,25,5,1.0,0.9,86,,,79,24,24,,,,,,,1.61 ,1.34 ,1.30 ,0.05 ,0.25 ,0.02 ,,,,0.03,0.27,0.06,0.06,0.25,9.0,0.0,2440,0,0,0,0,0,0,11,2,1748,6,673,0,0,0,0,2189,2,132,2047,8,0,1409,1140,17,0,233,0,0,19,,1.00/1.55/1.73,,6013 ,574 ,281 ,426 ,788 ,227 ,207 ,329 ,164 ,385 ,201 ,376 ,513 ,258 ,317 ,385 ,157 ,355 ,70 ,202 ,
K0150303,蛋類,蒸蛋(電鍋),"前處理描述:雞蛋去殼加入等重一次水打勻,分裝70mL蛋液於鋼杯中,電鍋加熱25分鐘,放冷均質",,,80 ,80,86.3,5.8,6.0,2.1,0.5,1.3,,,,,,,,,62,63,27,6,0.8,1.0,97,,,70,21,21,,,,,,,1.34 ,1.09 ,1.05 ,0.04 ,0.23 ,0.02 ,,,,0.03,0.20,0.07,0.05,0.19,,0.0,2089,0,0,0,0,0,0,22,2,1546,13,506,0,0,0,0,2455,2,148,2291,14,0,1452,1222,49,2,111,0,0,67,,1.00/1.69/1.44,,5322 ,504 ,248 ,372 ,697 ,197 ,182 ,326 ,117 ,343 ,173 ,341 ,457 ,226 ,280 ,336 ,133 ,317 ,73 ,222 ,
K0200101,蛋類,鴨蛋,"樣品狀態:生,鴨全蛋; 前處理描述:去殼,混合均質",,13 ,187 ,187,71.2,13.1,14.4,4.6,1.0,0.2,,0.0,0.0,0.0,,0.0,0.0,0.0,149,156,67,14,2.8,1.7,236,0.260 ,,978,293,293,,,,,,,2.26 ,1.63 ,1.55 ,0.02 ,0.67 ,0.01 ,,,,0.24,0.52,0.00,0.21,2.24,116.5,0.0,4588,0,0,0,0,3,0,78,13,3544,34,902,0,6,4,5,6433,5,303,6079,47,0,3213,1928,136,0,600,14,226,310,145,1.00/2.00/1.43,,10553 ,960 ,602 ,818 ,1382 ,295 ,350 ,498 ,215 ,599 ,448 ,457 ,963 ,501 ,583 ,798 ,250 ,597 ,238 ,219 ,
K0200201,蛋類,紅面番鴨蛋,"樣品狀態:生; 前處理描述:去殼,混合均質",,13 ,198 ,198,70.9,13.1,15.6,4.9,2.1,0.0,,,,,,,,,129,122,48,13,3.5,1.9,249,,,927,278,278,,,,,,,3.29 ,2.51 ,2.42 ,0.00 ,0.87 ,0.00 ,,,,0.27,0.59,0.13,0.22,2.12,,0.0,4896,0,0,0,107,0,0,114,0,3721,0,954,0,0,0,0,8489,0,428,8061,0,0,2215,2094,121,0,0,0,0,0,,1.00/3.83/2.21,,13590 ,1279 ,809 ,993 ,1837 ,524 ,471 ,340 ,761 ,755 ,664 ,641 ,1150 ,613 ,795 ,841 ,256 ,703 ,158 ,605 ,
K0206101,蛋類,鴨蛋白,"樣品狀態:生; 前處理描述:去殼及蛋黃,混合均質",,,47 ,47,87.1,10.8,0.0,,0.7,1.4,,,,,,,,,163,148,2,11,0.3,0.1,8,,,0,0,0,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,0.02,0.03,1.10,0.01,0.63,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12069 ,1057 ,675 ,878 ,1580 ,441 ,404 ,527 ,657 ,691 ,705 ,489 ,892 ,501 ,828 ,784 ,276 ,574 ,110 ,0 ,
K0208101,蛋類,鴨蛋黃,"樣品狀態:生; 前處理描述:去殼及蛋白,混合均質",,,347 ,347,49.7,15.8,30.8,10.0,1.7,2.0,,,,,,,,,50,91,140,11,6.4,3.7,499,,,2053,616,616,,,,,,,3.34 ,2.87 ,2.82 ,0.00 ,0.52 ,0.00 ,,,,0.75,0.88,0.80,0.38,8.56,,0.0,10001,0,0,0,0,0,0,169,0,7999,0,1833,0,0,0,0,15431,0,792,14513,126,0,5362,2991,132,0,1130,0,376,733,,1.00/2.88/1.87,,15265 ,1374 ,809 ,1187 ,1893 ,666 ,477 ,781 ,638 ,817 ,118 ,764 ,1302 ,711 ,700 ,1202 ,448 ,1130 ,248 ,1220 ,
K0213101,蛋類,鴨皮蛋,"樣品狀態:鴨蛋製品(鴨蛋,鹼液,鹽,茶葉等); 前處理描述:去殼,混合均勻打碎",,11 ,164 ,164,71.4,12.8,11.4,3.6,1.8,2.7,,0.0,0.0,0.0,,0.0,0.0,0.0,590,133,40,7,3.4,1.1,183,,,414,124,124,,,,,,,3.19 ,2.55 ,2.48 ,0.02 ,0.62 ,0.07 ,,,,0.02,0.34,0.30,0.04,1.31,,0.0,3562,0,0,0,0,1,0,52,4,2844,19,641,0,0,0,0,5616,2,257,5318,39,0,2123,1452,102,0,386,3,77,103,107,1.00/2.65/1.68,,11644 ,1084 ,659 ,825 ,1574 ,456 ,399 ,569 ,157 ,689 ,610 ,541 ,995 ,559 ,732 ,756 ,284 ,616 ,140 ,559 ,
K02141,蛋類,鴨鹹蛋平均值,"樣品狀態:鴨蛋製品; 前處理描述:去殼,混合均勻打碎",,13 ,185 ,185,66.7,13.3,14.1,4.6,4.8,1.1,,0.1,0.1,0.0,,0.0,0.0,0.0,1672,135,73,13,3.0,1.6,244,0.076 ,,602,177,175,,10,,,,,1.98 ,1.38 ,1.31 ,0.00 ,0.66 ,0.00 ,,,,0.19,0.54,0.15,0.20,2.77,32.6,0.0,4576,0,0,0,0,0,0,75,3,3615,18,859,0,2,3,1,6990,1,329,6614,47,0,2526,1668,98,0,453,4,133,171,120,1.00/2.77/1.81,,14317 ,1233 ,772 ,1027 ,1807 ,563 ,459 ,654 ,747 ,801 ,683 ,633 ,1168 ,639 ,831 ,1023 ,330 ,753 ,192 ,544 ,
K0214101,蛋類,鴨生鹹蛋,"樣品狀態:生,鴨蛋製品; 前處理描述:去殼,混合均勻打碎",,14 ,178 ,178,69.1,12.5,14.7,4.6,4.8,0.0,,,,,,,,,1681,144,32,15,3.3,1.3,235,,,766,230,230,,,,,,,1.31 ,0.89 ,0.84 ,0.00 ,0.47 ,0.00 ,,,,0.22,0.55,0.00,0.13,1.80,,0.0,4574,0,0,0,0,0,0,81,0,3656,0,838,0,0,0,0,7899,0,386,7465,48,0,2237,1600,60,0,295,0,155,126,,1.00/3.53/2.04,,13627 ,1195 ,775 ,1003 ,1738 ,521 ,457 ,628 ,400 ,796 ,804 ,622 ,1157 ,603 ,827 ,1047 ,321 ,662 ,75 ,542 ,
K0214102,蛋類,鴨熟鹹蛋,"樣品狀態:熟,鴨蛋製品; 前處理描述:去殼,混合均勻打碎",,13 ,183 ,183,65.9,13.7,13.8,4.5,5.8,0.8,,0.2,0.2,0.0,,0.0,0.0,0.0,2068,133,62,12,2.8,1.7,217,0.076 ,,467,137,135,,10,,,,,2.00 ,1.55 ,1.50 ,0.00 ,0.50 ,0.00 ,,,,0.13,0.57,0.22,0.20,3.70,32.6,0.0,4548,0,0,0,0,1,0,73,4,3587,24,847,0,2,6,2,6726,3,325,6352,46,0,2505,1490,100,0,521,12,179,204,127,1.00/2.69/1.82,,14724 ,1283 ,788 ,1067 ,1871 ,658 ,469 ,683 ,425 ,830 ,652 ,660 ,1189 ,666 ,872 ,1056 ,348 ,843 ,366 ,562 ,
K0214103,蛋類,鴨熟鹹蛋(薄鹽),"樣品狀態:熟,鴨蛋製品; 前處理描述:去殼,混合均勻打碎",,14 ,194 ,194,65.1,13.7,13.8,4.6,3.8,3.5,,0.0,0.0,0.0,,0.0,0.0,0.0,1267,127,124,13,2.9,1.7,281,,,538,161,161,,,,,,,2.64 ,1.70 ,1.60 ,0.01 ,1.02 ,0.01 ,,,,0.22,0.51,0.24,0.28,2.80,,0.1,4593,0,0,0,0,0,0,70,4,3597,28,888,0,3,3,0,6383,0,278,6059,47,0,2813,1905,132,0,531,0,67,179,108,1.00/2.27/1.63,,14598 ,1223 ,754 ,1012 ,1813 ,511 ,452 ,652 ,1417 ,778 ,593 ,617 ,1157 ,650 ,793 ,966 ,320 ,756 ,135 ,530 ,
K0214801,蛋類,鴨鹹蛋黃,"樣品狀態:熟,鴨蛋製品; 前處理描述:混合均勻打碎",,,528 ,528,24.2,23.6,47.6,15.3,3.3,1.3,,0.0,0.0,0.0,,0.0,0.0,0.0,397,118,185,19,7.9,5.0,802,,,2513,754,754,,,,,,,6.80 ,5.37 ,5.16 ,0.12 ,1.51 ,0.01 ,,,,0.85,1.72,0.52,0.56,7.03,,4.5,15273,0,0,0,0,0,0,253,0,12165,78,2688,0,0,89,0,24709,0,1242,23385,81,0,7425,5147,324,0,1347,0,182,425,465,1.00/3.33/2.06,,21524 ,1870 ,1149 ,1595 ,2778 ,870 ,645 ,1134 ,549 ,1146 ,619 ,1076 ,1942 ,1021 ,940 ,1840 ,591 ,1471 ,289 ,1891 ,
K0300101,蛋類,鵪鶉蛋,"樣品狀態:生; 前處理描述:去殼,混合均質",鳥蛋,17 ,172 ,172,72.1,12.7,13.0,4.8,1.1,1.2,,0.4,0.4,0.0,,0.0,0.0,0.0,142,167,51,11,3.0,2.1,286,0.084 ,,1032,309,309,,,,,,,1.89 ,1.22 ,1.15 ,0.00 ,0.70 ,0.04 ,,,,0.14,0.69,0.04,0.13,1.91,94.4,0.0,4757,0,0,4,0,0,0,79,4,3455,13,1197,0,3,2,0,5875,5,254,5588,28,0,2310,1992,64,0,147,4,40,64,52,1.00/2.54/2.06,,12740 ,1230 ,686 ,949 ,1631 ,368 ,441 ,655 ,460 ,712 ,404 ,583 ,1096 ,548 ,640 ,954 ,484 ,709 ,191 ,606 ,
K0311101,蛋類,鵪鶉水煮蛋,"樣品狀態:熟,鵪鶉蛋製品; 前處理描述:混合均勻打碎",鳥蛋,,163 ,163,74.7,12.3,12.1,4.5,0.9,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,89,13,58,10,2.6,1.8,212,0.083 ,,900,267,266,,8,,,,,3.43 ,2.42 ,2.31 ,0.01 ,1.09 ,0.03 ,,,,0.03,0.26,0.12,0.06,1.91,52.7,0.1,4486,0,0,0,0,0,0,62,5,3125,17,1271,0,3,2,1,5044,6,375,4645,17,0,2493,2009,111,0,244,7,28,94,81,1.00/2.02/1.80,,12756 ,1196 ,670 ,927 ,1623 ,525 ,453 ,686 ,166 ,738 ,383 ,637 ,1147 ,545 ,671 ,1010 ,443 ,750 ,185 ,547 ,
K0313101,蛋類,鵪鶉皮蛋,"樣品狀態:鵪鶉蛋製品; 前處理描述:去殼,混合均勻打碎",鳥蛋,11 ,160 ,160,71.2,13.8,10.9,3.9,2.3,1.8,,0.0,0.0,0.0,,0.0,0.0,0.0,791,147,83,7,2.4,1.7,215,,,1043,313,313,,,,,,,1.83 ,1.35 ,1.29 ,0.00 ,0.50 ,0.04 ,,,,0.01,0.15,0.18,0.02,0.82,,0.1,3877,0,0,0,0,0,0,68,0,2813,0,992,0,3,2,0,5162,0,426,4725,10,0,1850,1616,35,0,114,4,12,70,6,1.00/2.79/2.10,,13239 ,1306 ,728 ,882 ,1742 ,441 ,501 ,739 ,176 ,852 ,475 ,684 ,1199 ,601 ,708 ,891 ,456 ,689 ,170 ,507 ,
